No,Paper,Authors,Name,Size,Area/Domain,Open-source,Bias Cases/Protected Attributes,Bias types ,Mechanism Type,Base AI Algorithm,Fairness metrics,Model/Method,Dataset Description,Model/Method Description
5,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",UCI Adult,"48,842 income records",Financial,yes,"Gender/Sex, Race, Age",Representation,Pre-process,Any,Group preference-based fairness,Decoupled Classifiers with Preference Guarantees,"description 2: The Adult dataset is a publicly available dataset in the UCI repository based on 1994 U.S. census data. The goal of this dataset is to successfully predict whether an individual earns more or less than $50,000 per year based on features such as occupation, marital status, and education. The sensitive attributes in this dataset include age, gender, and race.",Recursive feature selection procedure for building decoupled classifiers.
5,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",UCI Adult,"48,842 income records",Financial,yes,"Gender/Sex, Race, Age",Representation,In-process,Decision boundary based,Equalized odds,Penalizing Unfairness,"description 2: The Adult dataset is a publicly available dataset in the UCI repository based on 1994 U.S. census data. The goal of this dataset is to successfully predict whether an individual earns more or less than $50,000 per year based on features such as occupation, marital status, and education. The sensitive attributes in this dataset include age, gender, and race.",Minimizing a proxy for equalized odds in a penalty to the objective function.
5,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",UCI Adult,"48,842 income records",Financial,yes,"Gender/Sex, Race, Age",Representation,In-process,SVM,Disparate impact,Dataset Constraints,"description 2: The Adult dataset is a publicly available dataset in the UCI repository based on 1994 U.S. census data. The goal of this dataset is to successfully predict whether an individual earns more or less than $50,000 per year based on features such as occupation, marital status, and education. The sensitive attributes in this dataset include age, gender, and race.","Constrained non-convex optimization using SVM with ramp loss, to enhance disparate impact."
5,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",UCI Adult,"48,842 income records",Financial,yes,"Gender/Sex, Race, Age",Representation,In-process,Convex boundary-based classifiers,Group preference-based fairness,Achieving preferred treatment and preferred impact,"description 2: The Adult dataset is a publicly available dataset in the UCI repository based on 1994 U.S. census data. The goal of this dataset is to successfully predict whether an individual earns more or less than $50,000 per year based on features such as occupation, marital status, and education. The sensitive attributes in this dataset include age, gender, and race.",In-process mechanisms that solves an optimization problem that balances accuracy and tractable proxies for preferred treatment and preferred impact.
5,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",UCI Adult,"48,842 income records",Financial,yes,"Gender/Sex, Race, Age",Representation,In-process,SVM,"Equalized odds, Overall accuracy equality",Recycling Privileged Learning and Distribution Matching,"description 2: The Adult dataset is a publicly available dataset in the UCI repository based on 1994 U.S. census data. The goal of this dataset is to successfully predict whether an individual earns more or less than $50,000 per year based on features such as occupation, marital status, and education. The sensitive attributes in this dataset include age, gender, and race.",Use SVM with privileged learning. Combine the sensitive attributes as privileged information that is known only at training time. Use the MMD criterion to encourage the distributions to be similar across privileged and unprivileged groups.
5,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",UCI Adult,"48,842 income records",Financial,yes,"Gender/Sex, Race, Age",Representation,In-process,Any,"Demographic parity, Equalized odds",Reductions Approach,"description 2: The Adult dataset is a publicly available dataset in the UCI repository based on 1994 U.S. census data. The goal of this dataset is to successfully predict whether an individual earns more or less than $50,000 per year based on features such as occupation, marital status, and education. The sensitive attributes in this dataset include age, gender, and race.",A minimax optimization formulation that aims at maximizing the predictor’s capability to predict the outcome while minimizing the capability to predict the sensitive feature. Solved using saddle point methods.
5,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",UCI Adult,"48,842 income records",Financial,yes,"Gender/Sex, Race, Age",Representation,Post-process,Any,Combination of individual and group fairness,Individual+Group Debiasing (IGD),"description 2: The Adult dataset is a publicly available dataset in the UCI repository based on 1994 U.S. census data. The goal of this dataset is to successfully predict whether an individual earns more or less than $50,000 per year based on features such as occupation, marital status, and education. The sensitive attributes in this dataset include age, gender, and race.",Post-process mechanism to balance accuracy with both individual and group fairness. Begin by detecting samples that are prone to individual bias and consider them for prediction change for enhancing disparate impact. Note that this method does not require ground truth class labels for the validation set.
5,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",UCI Adult,"48,842 income records",Financial,yes,"Gender/Sex, Race, Age",Representation,"In-process, Post-process","In-process - decision tree, Post-process - any algorithm",Demographic parity,"Discrimination Aware Tree Construction (new split criterion), Relabeling (post-process)","description 2: The Adult dataset is a publicly available dataset in the UCI repository based on 1994 U.S. census data. The goal of this dataset is to successfully predict whether an individual earns more or less than $50,000 per year based on features such as occupation, marital status, and education. The sensitive attributes in this dataset include age, gender, and race.","New split criterion (in-process) while maximizing information gain between selected split attribute to class label, also minimizing information gain to sensitive attribute. Leaf relabeling (post-process)—change class labels of some leaves trading as little accuracy as possible, using KNAPSACK optimization formulation."
5,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",UCI Adult,"48,842 income records",Financial,yes,"Gender/Sex, Race, Age",Representation,"Pre-process, In-process",Logistic regression,Demographic parity,Learning Fair Representations,"description 2: The Adult dataset is a publicly available dataset in the UCI repository based on 1994 U.S. census data. The goal of this dataset is to successfully predict whether an individual earns more or less than $50,000 per year based on features such as occupation, marital status, and education. The sensitive attributes in this dataset include age, gender, and race.","Combining fair representation learning with an in-process model by a multi-objective loss function that requires representations to retain information of the original vectors, induce fair statistical parity, and maintain as high accuracy as possible."
5,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",UCI Adult,"48,842 income records",Financial,yes,"Gender/Sex, Race, Age",Representation,"Pre-process, In-process",Any,"Demographic parity, Mean difference",Variational Fair Autoencoder,"description 2: The Adult dataset is a publicly available dataset in the UCI repository based on 1994 U.S. census data. The goal of this dataset is to successfully predict whether an individual earns more or less than $50,000 per year based on features such as occupation, marital status, and education. The sensitive attributes in this dataset include age, gender, and race.",Fair representation learning using a variational autoencoder. Additional penalty for controlling distribution matching between groups using MMD criterion.
5,"9. Fairness issues, current approaches, and challenges in machine learning models","Tonni Das Jui, Pablo Rivas",UCI Adult,"48,842 income records",Financial,yes,"Gender/Sex, Race, Age",Representation,,,,,"description 3: The UCI Adult dataset, also known as the Census Income dataset, is a popular dataset used in machine learning and data mining research. It consists of 14 attributes or features. These attributes capture various demographic, social, and economic information about individuals. The type of attributes includes a mix of categorical and numerical attributes. Categorical attributes represent specifc characteristics such as education, marital status, occupation, and relationship status. Numerical attributes include age, educational years, capital gain, loss, and weekly work hours. The predicting attribute in the UCI Adult dataset is typically the “income” attribute, which indicates whether an individual earns more than 50, 000 per year. This attribute serves as a binary label, often used for classifcation tasks. The UCI Adult dataset is valued for its real-world relevance, the presence of socio-economic attributes, and the opportunities it provides for studying fairness, bias, and income prediction tasks. Its availability and well-documented nature make it a suitable dataset for many feld researchers",
5,11. A survey on datasets for fairness-aware machine learning,"Tai Le Quy1, Arjun Roy, Vasileios Iosifidis, Wenbin Zhang, Eirini Ntoutsi",UCI Adult,"48,842 income records",Financial,,"Gender/Sex, Race, Age",Representation,,,,,"description 4: The classification task is to decide whether the annual income of a person exceeds 50,000 US dollars based on demographic characteristics. The class attribute is income ≤50K, > 50K indicating whether an individual makes less or more than 50K.",
,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",UCI Adult (test only),,Income,yes,"Age, Gender/Sex",Representation,In-process,Logistic regression,Normalized prejudice index Prejudice,Prejudice Remover Regularizer,"description 2: The Adult dataset is a publicly available dataset in the UCI repository based on 1994 U.S. census data. The goal of this dataset is to successfully predict whether an individual earns more or less than $50,000 per year based on features such as occupation, marital status, and education. The sensitive attributes in this dataset include age, gender, and race.",Solving an optimization problem with a penalty that minimizes mutual information between prediction and sensitive attribute.
,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",UCI Adult (test only),,Income,yes,"Age, Gender/Sex",Representation,"In-process, Post-process",Naive Bayes,Demographic parity,"Modifying Naive Bayes, Two Naive Bayes, Expectation Maximization (EM)","description 2: The Adult dataset is a publicly available dataset in the UCI repository based on 1994 U.S. census data. The goal of this dataset is to successfully predict whether an individual earns more or less than $50,000 per year based on features such as occupation, marital status, and education. The sensitive attributes in this dataset include age, gender, and race.","Modifying naive Bayes—modify probabilities so that the unprivileged group would get more positive predictions, enhancing demographic parity. Two naive Bayes—using two separate models to predict each of the groups, and balance demographic parity of both groups in an iterative process, by making slight changes to the observed probabilities. EM—add a latent variable, which represents actual labels, to the Bayesian model and optimize using EM."
6,2. A Survey on Bias and Fairness in Machine Learning,"NINAREH MEHRABI, FRED MORSTATTER, NRIPSUTA SAXENA, KRISTINA LERMAN, ARAM GALSTYAN",imSitu,,,,,,,,,RBA (reducing bias amplification),,
7,2. A Survey on Bias and Fairness in Machine Learning,"NINAREH MEHRABI, FRED MORSTATTER, NRIPSUTA SAXENA, KRISTINA LERMAN, ARAM GALSTYAN",labeled faces in the wild (LFW),,,,,,,,,Fair PCA,,
8,2. A Survey on Bias and Fairness in Machine Learning,"NINAREH MEHRABI, FRED MORSTATTER, NRIPSUTA SAXENA, KRISTINA LERMAN, ARAM GALSTYAN",Europarl,,,,Gender/Sex,,,,,,"large political, multilingual dataset used in machine translation",
9,2. A Survey on Bias and Fairness in Machine Learning,"NINAREH MEHRABI, FRED MORSTATTER, NRIPSUTA SAXENA, KRISTINA LERMAN, ARAM GALSTYAN",German credit,"1,000 credit records",Financial,yes,,,,,,,"description 1: The German Credit dataset contains 1,000 credit records containing attributes such as personal status and sex, credit score, credit amount, housing status and so on. It can be used in studies about gender inequalities on credit-related issues.",
9,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",German credit,"1,000 credit records",Financial,yes,"Age, Gender/Sex",,Pre-process,Any,Disparate impact,Removing Disparate Impact,"description 2: The German dataset is a publicly available dataset in the UCI repository that includes information of individuals from a German bank in 1994. The goal of this dataset is to predict whether an individual should receive a good or bad credit risk score based on features such as employment, housing, savings, and age. The sensitive attributes in this dataset include gender  and age. This dataset is significantly smaller, with only 1,000 individuals with 20 attributes.",Pre-process data to decrease earth moving distance between distributions of both groups. Note that it does not require any ground truth data.
9,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",German credit,"1,000 credit records",Financial,yes,"Age, Gender/Sex",,Pre-process,Any score based,Demographic parity,"Massaging, Reweighing, Sampling, Suppression","description 2: The German dataset is a publicly available dataset in the UCI repository that includes information of individuals from a German bank in 1994. The goal of this dataset is to predict whether an individual should receive a good or bad credit risk score based on features such as employment, housing, savings, and age. The sensitive attributes in this dataset include gender  and age. This dataset is significantly smaller, with only 1,000 individuals with 20 attributes.","Massaging: Changing some labels before training (selecting points with lower acceptance rate, trying to replace a small number of samples as opposed to the work of Luong et al.). Reweighing: Assigning different weights to samples. Sampling: Uniform sampling or preferential sampling, using the idea that the closest the samples are to the boundary, the more likely they are to be discriminated. Suppression: Baseline approach to remove correlated features (performed worse)."
9,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",German credit,"1,000 credit records",Financial,yes,"Age, Gender/Sex",,Pre-process,Any,Conditional statistical parity,Discrimination Prevention with KNN,"description 2: The German dataset is a publicly available dataset in the UCI repository that includes information of individuals from a German bank in 1994. The goal of this dataset is to predict whether an individual should receive a good or bad credit risk score based on features such as employment, housing, savings, and age. The sensitive attributes in this dataset include gender  and age. This dataset is significantly smaller, with only 1,000 individuals with 20 attributes.","Changing labels before training such that individuals that are similar except their sensitive attribute will not have different labels, and more individuals from the unprivileged group will get positive labels."
9,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",German credit,"1,000 credit records",Financial,yes,"Age, Gender/Sex",,Post-process,Any,Combination of individual and group fairness,Individual+Group Debiasing (IGD),"description 2: The German dataset is a publicly available dataset in the UCI repository that includes information of individuals from a German bank in 1994. The goal of this dataset is to predict whether an individual should receive a good or bad credit risk score based on features such as employment, housing, savings, and age. The sensitive attributes in this dataset include gender  and age. This dataset is significantly smaller, with only 1,000 individuals with 20 attributes.",Post-process mechanism to balance accuracy with both individual and group fairness. Begin by detecting samples that are prone to individual bias and consider them for prediction change for enhancing disparate impact. Note that this method does not require ground truth class labels for the validation set.
9,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",German credit,"1,000 credit records",Financial,yes,"Age, Gender/Sex",,"Pre-process, In-process",Logistic regression,Demographic parity,Learning Fair Representations,"description 2: The German dataset is a publicly available dataset in the UCI repository that includes information of individuals from a German bank in 1994. The goal of this dataset is to predict whether an individual should receive a good or bad credit risk score based on features such as employment, housing, savings, and age. The sensitive attributes in this dataset include gender  and age. This dataset is significantly smaller, with only 1,000 individuals with 20 attributes.","Combining fair representation learning with an in-process model by a multi-objective loss function that requires representations to retain information of the original vectors, induce fair statistical parity, and maintain as high accuracy as possible."
9,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",German credit,"1,000 credit records",Financial,yes,"Age, Gender/Sex",,"Pre-process, In-process",Any,"Demographic parity, Mean difference",Variational Fair Autoencoder,"description 2: The German dataset is a publicly available dataset in the UCI repository that includes information of individuals from a German bank in 1994. The goal of this dataset is to predict whether an individual should receive a good or bad credit risk score based on features such as employment, housing, savings, and age. The sensitive attributes in this dataset include gender  and age. This dataset is significantly smaller, with only 1,000 individuals with 20 attributes.",Fair representation learning using a variational autoencoder. Additional penalty for controlling distribution matching between groups using MMD criterion.
9,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods","Tiago P. Pagano, Rafael B. Loureiro, Fernanda V. N. Lisboa, Rodrigo M. Peixoto, Guilherme A. S. Guimarães, Gustavo O. R. Cruz, Maira M. Araujo, Lucas L. Santos, Marco A. S. Cruz, Ewerton L. S. Oliveira, Ingrid Winkler, Erick G. S. Nascimento",German credit,"1,000 credit records",Financial,yes,"Age, Gender/Sex",,In-process,,"Absolute Balanced Accuracy Difference, Absolute Average Odds Difference, Absolute Equal Opportunity Rate Difference, Statistical Parity Difference",,"description 3: The German dataset has 1000 items and 20 categorical attributes. Each entry in this dataset represents an individual who receives credit from a bank. According to the set of attributes, each individual is evaluated on his or her credit risk.",
9,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods","Tiago P. Pagano, Rafael B. Loureiro, Fernanda V. N. Lisboa, Rodrigo M. Peixoto, Guilherme A. S. Guimarães, Gustavo O. R. Cruz, Maira M. Araujo, Lucas L. Santos, Marco A. S. Cruz, Ewerton L. S. Oliveira, Ingrid Winkler, Erick G. S. Nascimento",German credit,"1,000 credit records",Financial,yes,"Age, Gender/Sex",,Post-process,,Disparate impact,,"description 3: The German dataset has 1000 items and 20 categorical attributes. Each entry in this dataset represents an individual who receives credit from a bank. According to the set of attributes, each individual is evaluated on his or her credit risk.",
9,"9. Fairness issues, current approaches, and challenges in machine learning models","Tonni Das Jui, Pablo Rivas",German credit,"1,000 credit records",Financial,yes,"Age, Gender/Sex",,,,,,"desctiption 4: It is a well-known dataset used in machine learning and credit risk analysis. It consists of 20 attributes or features (a mix of categorical and numerical attributes) that capture various aspects of individuals applying for credit, including personal, fnancial, and employment information. Categorical attributes include sex, housing status, employment type, and credit history. Numerical attributes include features like age, credit amount, duration of credit, and installment rate. The predicting attribute in the UCI German Credit Dataset is typically the “credit risk” attribute, which indicates whether a person is considered a good or bad credit risk. This binary label is used for classifcation tasks to predict the creditworthiness of applicants.",
9,11. A survey on datasets for fairness-aware machine learning,"Tai Le Quy1, Arjun Roy, Vasileios Iosifidis, Wenbin Zhang, Eirini Ntoutsi",German credit,"1,000 credit records",Financial,yes,"Age, Gender/Sex",,,,,,"description 5: The German credit10 dataset consists of samples of bank account holders. The dataset is used for risk assessment prediction, that is, to determine whether it is risky to grant credit to a person or not. The dataset is frequently employed in fairness-aware learning researches.",
10,2. A Survey on Bias and Fairness in Machine Learning,"NINAREH MEHRABI, FRED MORSTATTER, NRIPSUTA SAXENA, KRISTINA LERMAN, ARAM GALSTYAN",Pilot parliaments benchmark,"1,270 images",Facial images,,,,,,,,"The Pilot Parliaments Benchmark dataset, also known as PPB, contains images of 1,270 individuals in the national parliaments from three European (Iceland, Finland, Sweden) and three African (Rwanda, Senegal, South Africa) countries. This benchmark was released to have more gender and race balance, diversity, and representativeness.",
11,2. A Survey on Bias and Fairness in Machine Learning,"NINAREH MEHRABI, FRED MORSTATTER, NRIPSUTA SAXENA, KRISTINA LERMAN, ARAM GALSTYAN",WinoBias,"3,160 sentences",Coreference resolution,,Coreference resolution,,,,,,"The WinoBias dataset follows the winograd format and has 40 occupations in sentences that are referenced to human pronouns. There are two types of challenge sentences in the dataset requiring linkage of gendered pronouns to either male or female stereotypical occupations. It was used in the coreference resolution study to certify if a system has gender bias or not—in this case, towards stereotypical occupations.",
12,2. A Survey on Bias and Fairness in Machine Learning,"NINAREH MEHRABI, FRED MORSTATTER, NRIPSUTA SAXENA, KRISTINA LERMAN, ARAM GALSTYAN",Communities and crime,"1,994 crime records",Criminology,yes,,,,,,,"description 1: The Communities and Crime dataset gathers information from different communities in the United States related to several factors that can highly influence some common crimes such as robberies, murders, or rapes. The data includes crime data obtained from the 1990 US LEMAS survey and the 1995 FBI Unified Crime Report. It also contains socio-economic data from the 1990 US Census.",
12,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",Communities and crime,"1,994 crime records",Criminology,yes,Percentage of African-American population,,Pre-process,Any score based,Demographic parity,"Massaging, Reweighing, Sampling, Suppression","description 2: The Communities and Crimes dataset includes 1,994 instances and 128 attributes of communities in the United States. It is publicly available in the UCI repository. The goal is to predict the number of violent crimes per 100,000 individuals based on features such as percentage of population by age, by marital status, by number of children, by race, and more. Kamiran and Calders add a new sensitive attribute that represents whether the percentage of the African-American population in the community is greater than 0.06.","Massaging: Changing some labels before training (selecting points with lower acceptance rate, trying to replace a small number of samples as opposed to the work of Luong et al.). Reweighing: Assigning different weights to samples. Sampling: Uniform sampling or preferential sampling, using the idea that the closest the samples are to the boundary, the more likely they are to be discriminated. Suppression: Baseline approach to remove correlated features (performed worse)."
12,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",Communities and crime,"1,994 crime records",Criminology,yes,Percentage of African-American population,,Pre-process,Any,Conditional statistical parity,Discrimination Prevention with KNN,"description 2: The Communities and Crimes dataset includes 1,994 instances and 128 attributes of communities in the United States. It is publicly available in the UCI repository. The goal is to predict the number of violent crimes per 100,000 individuals based on features such as percentage of population by age, by marital status, by number of children, by race, and more. Kamiran and Calders add a new sensitive attribute that represents whether the percentage of the African-American population in the community is greater than 0.06.","Changing labels before training such that individuals that are similar except their sensitive attribute will not have different labels, and more individuals from the unprivileged group will get positive labels."
12,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",Communities and crime,"1,994 crime records",Criminology,yes,Percentage of African-American population,,Pre-process,Any,Pairwise fairness,Pairwise Fair Representation,"description 2: The Communities and Crimes dataset includes 1,994 instances and 128 attributes of communities in the United States. It is publicly available in the UCI repository. The goal is to predict the number of violent crimes per 100,000 individuals based on features such as percentage of population by age, by marital status, by number of children, by race, and more. Kamiran and Calders add a new sensitive attribute that represents whether the percentage of the African-American population in the community is greater than 0.06.",Pre-process mechanism to create fair representations by leveraging external knowledge on human judgments on pairs of individuals that should be treated similarly. Use fairness graph constraints combined with data-driven similarities.
12,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",Communities and crime,"1,994 crime records",Criminology,yes,Percentage of African-American population,,"In-process, Post-process","In-process - decision tree, Post-process - any algorithm",Demographic parity,"Discrimination Aware Tree Construction (new split criterion), Relabeling (post-process)","description 2: The Communities and Crimes dataset includes 1,994 instances and 128 attributes of communities in the United States. It is publicly available in the UCI repository. The goal is to predict the number of violent crimes per 100,000 individuals based on features such as percentage of population by age, by marital status, by number of children, by race, and more. Kamiran and Calders add a new sensitive attribute that represents whether the percentage of the African-American population in the community is greater than 0.06.","New split criterion (in-process) while maximizing information gain between selected split attribute to class label, also minimizing information gain to sensitive attribute. Leaf relabeling (post-process)—change class labels of some leaves trading as little accuracy as possible, using KNAPSACK optimization formulation."
12,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods","Tiago P. Pagano, Rafael B. Loureiro, Fernanda V. N. Lisboa, Rodrigo M. Peixoto, Guilherme A. S. Guimarães, Gustavo O. R. Cruz, Maira M. Araujo, Lucas L. Santos, Marco A. S. Cruz, Ewerton L. S. Oliveira, Ingrid Winkler, Erick G. S. Nascimento",Communities and crime,"1,994 crime records",Criminology,yes,Percentage of African-American population,,Post-process,,Disparate impact,,"description 3: The Communities dataset compares socioeconomic situations of US citizens in the 1990s and crime rate, identifying the per capita rate of violent crime in each community.",
12,11. A survey on datasets for fairness-aware machine learning,"Tai Le Quy1, Arjun Roy, Vasileios Iosifidis, Wenbin Zhang, Eirini Ntoutsi",Communities and crime,"1,994 crime records",Criminology,yes,Percentage of African-American population,,,,,,"description 4: The Communities and Crime dataset was a small dataset containing the socioeconomic data from 46 states of the United States in 1990 (the US Census). The law enforcement data come from the 1990 US LEMAS survey, and crime data come from the 1995 FBI Uniform Crime Reporting program. The goal is to predict the total number of violent crimes per 100 thousand population.",
13,2. A Survey on Bias and Fairness in Machine Learning,"NINAREH MEHRABI, FRED MORSTATTER, NRIPSUTA SAXENA, KRISTINA LERMAN, ARAM GALSTYAN",Recidivism in juvenile justice,"4,753 crime records",Social,,,,,,,,The Recidivism in Juvenile Justice dataset contains all juvenile offenders between ages 12–17 who committed a crime between years 2002 and 2010 and completed a prison sentence in 2010 in Catalonia’s juvenile justice system.,
14,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",Dutch Census,"189,725",Financial,yes,Gender/Sex,,Pre-process,Any score based,Demographic parity,"Massaging, Reweighing, Sampling, Suppression","description 1: The Dutch Census dataset includes 189,725 instances and 13 attributes of individuals. It is publicly available in the IPUMS repository. Kamiran and Calders and Agarwal et al. use this dataset with only the 60,420 individuals who are not underaged. Their goal is to predict whether an individual holds a highly prestigious occupation by using features such as gender, age, household details, location, citizenship, birth country, education, economic status, and marital status. The sensitive feature utilized is gender.","Massaging: Changing some labels before training (selecting points with lower acceptance rate, trying to replace a small number of samples as opposed to the work of Luong et al.). Reweighing: Assigning different weights to samples. Sampling: Uniform sampling or preferential sampling, using the idea that the closest the samples are to the boundary, the more likely they are to be discriminated. Suppression: Baseline approach to remove correlated features (performed worse)."
14,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",Dutch Census,"189,725",Financial,yes,Gender/Sex,,In-process,Any,"Demographic parity, Equalized odds",Reductions Approach,"description 1: The Dutch Census dataset includes 189,725 instances and 13 attributes of individuals. It is publicly available in the IPUMS repository. Kamiran and Calders and Agarwal et al. use this dataset with only the 60,420 individuals who are not underaged. Their goal is to predict whether an individual holds a highly prestigious occupation by using features such as gender, age, household details, location, citizenship, birth country, education, economic status, and marital status. The sensitive feature utilized is gender.",A minimax optimization formulation. that aims at maximizing the predictor’s capability to predict the outcome while minimizing the capability to predict the sensitive feature. Solved using saddle point methods.
